city,date,irradiance,temperature,humidity,wind_speed,AC_POWER,DC_POWER,IRRADIATION,solar_performance_score,Unnamed: 0,Dates,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,DD,Delhi,DNH,DVC,Essar steel,Goa,Gujarat,Haryana,HP,J&K,Jharkhand,Karnataka,Kerala,Maharashtra,Manipur,Meghalaya,Mizoram,MP,Nagaland,Odisha,Pondy,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,UP,Uttarakhand,West Bengal,Total Consumption,year,month,day,day_of_week,quarter,total_consumption,daily_growth_rate,rolling_7_day_avg,rolling_30_day_avg,installation_cost,tariff_rate,annual_savings,maintenance_cost,subsidy,net_installation_cost,roi,payback_period
Delhi,2020-05-15,7.0716,33.41,33.82,3.31,281.8991603902216,2879.8562655433675,0.2143210750888085,2.9989196322598706,2312,2020-05-15,181.9,2.0,22.2,100.6,3.4,79.4,4.2,72.0,7.5,49.7,13.9,10.0,306.3,120.4,21.9,43.2,23.2,209.5,71.9,405.5,2.3,5.1,1.6,202.9,2.1,81.2,8.5,121.2,219.7,1.2,303.5,156.8,3.9,339.7,30.1,145.2,3368.9,2020,5,15,4,2,6742.599999999999,1.589549652709743,6476.0,6003.933333333334,321958,7.397669800249804,761169.8705200991,6439.16,64391.600000000006,257566.4,293.02374475867157,0.3383818403665499
Delhi,2020-05-16,7.6356,33.13,28.31,3.9,293.8778807796024,3002.1393577453105,0.2121702088962662,3.175236474799966,2313,2020-05-16,185.5,1.9,22.1,101.9,3.5,76.5,4.3,73.3,7.6,53.0,16.2,8.9,306.5,128.5,22.4,43.8,25.9,204.1,71.2,405.1,2.2,5.1,1.5,205.5,2.4,81.3,8.5,129.8,225.2,0.9,296.5,152.8,3.9,350.6,30.5,151.7,3405.6,2020,5,16,5,2,6816.200000000001,1.09156705128588,6511.099999999999,6033.223333333333,331932,6.5914568812099095,707035.4335175349,6638.64,66386.40000000001,265545.6,263.7576346652081,0.37557555369374657
Delhi,2020-05-17,6.6514,34.34,25.48,2.17,312.96183204783614,3200.565600194744,0.238868522489879,3.766244306500447,2314,2020-05-17,177.6,1.9,21.5,101.6,3.4,75.7,3.8,75.7,7.3,51.4,16.3,9.1,299.7,128.2,20.6,43.0,26.3,192.5,63.7,404.9,2.4,4.8,1.5,204.5,2.2,81.3,8.5,135.7,220.8,0.9,277.3,144.2,3.9,361.1,28.0,149.0,3344.7,2020,5,17,6,2,6695.0,-1.77811683929463,6590.5142857142855,6057.35,565838,7.96517803694338,909870.7995255803,11316.76,113167.6,452670.4,198.50072801879253,0.49751008904334504
Delhi,2020-05-18,7.3142,34.03,22.57,2.49,222.99702127311505,2278.668814254924,0.1590258863064431,2.463815608425709,2315,2020-05-18,174.1,1.9,27.6,105.9,3.8,76.3,4.2,78.7,7.4,52.9,14.9,10.3,303.5,135.5,22.4,43.3,26.9,169.2,63.3,418.3,2.6,5.0,1.5,205.3,2.1,83.4,8.5,142.3,225.6,1.3,270.5,149.5,3.9,367.1,30.6,157.7,3391.9,2020,5,18,0,2,6789.2,1.40702016430172,6685.128571428571,6089.726666666667,459178,7.015507315330083,571019.5904240002,9183.56,91835.6,367342.4,152.94614246109356,0.6433085008847704
Delhi,2020-05-19,7.5792,33.72,17.27,2.62,267.4625583268417,2732.640628746392,0.1974073712280035,3.1133584237305145,2316,2020-05-19,164.7,1.9,30.9,102.2,3.9,76.2,4.4,81.3,7.9,52.7,14.8,10.5,307.0,134.0,23.6,44.2,26.5,174.0,65.6,420.9,2.6,5.2,1.7,208.3,2.1,74.2,8.5,143.6,231.8,1.2,274.7,151.3,3.9,370.6,31.7,148.2,3401.3,2020,5,19,1,2,6808.099999999999,0.2783833146762227,6730.228571428571,6125.856666666668,310268,9.30465184206858,908355.7848973812,6205.360000000001,62053.600000000006,248214.4,363.4561189428902,0.2732565046321983
Delhi,2020-05-20,8.1835,33.12,18.47,2.95,314.0457938884043,3215.0632596869136,0.2400729240189435,4.604665450162271,2317,2020-05-20,175.5,2.0,28.4,93.3,4.0,74.8,4.4,82.3,8.1,47.3,15.0,10.6,308.6,139.8,23.8,45.3,19.3,188.0,70.1,426.2,2.4,5.0,1.6,203.8,2.2,57.4,8.5,145.4,230.0,1.2,296.7,159.8,3.9,383.2,32.9,75.1,3371.2000000000003,2020,5,20,2,2,6747.1,-0.8959915394897044,6747.9,6159.816666666667,254886,11.382966861900753,1304792.0957071225,5097.72,50977.200000000004,203908.8,637.390036971,0.15627673128473538
Delhi,2020-05-21,7.9397,34.13,17.42,3.89,484.4608548279167,4956.921158773319,0.3787740493182112,6.39677026960725,2318,2020-05-21,186.9,2.1,20.2,81.6,4.2,78.0,4.5,84.8,8.2,47.3,16.6,10.6,316.6,142.4,24.3,43.4,17.4,196.5,71.2,434.5,2.8,4.4,1.5,207.2,2.3,70.0,8.5,160.4,233.5,1.1,302.2,166.9,3.9,382.7,33.7,51.5,3419.3,2020,5,21,3,2,6843.2,1.4243156319011074,6777.342857142857,6201.990000000001,337337,5.973813359001433,1056338.7351667557,6746.74,67467.40000000001,269869.6,388.92561265394687,0.25547614182798667
Delhi,2020-05-22,7.969,36.52,15.93,1.86,309.5809210920232,3166.017998627707,0.2399508697316888,3.8626216955439454,2319,2020-05-22,192.3,2.0,21.7,92.5,4.5,79.2,4.5,91.7,8.6,52.5,16.3,10.3,317.1,154.5,24.8,44.9,23.5,201.3,72.4,442.1,2.4,4.7,1.7,209.3,2.3,77.2,8.5,168.2,237.2,1.3,306.5,173.3,3.9,402.6,35.2,78.3,3565.1,2020,5,22,4,2,7134.4,4.255319148936176,6833.314285714286,6246.483333333334,721430,5.705562221111205,644711.6208322016,14428.6,144286.0,577144.0,109.20723785263324,0.8951957528844661
Delhi,2020-05-23,7.0056,38.66,15.66,2.01,380.9419243993407,3896.9444239727577,0.2933331639016568,4.962811838029397,2320,2020-05-23,195.9,1.5,23.6,98.6,4.6,79.4,4.6,95.2,8.1,54.7,16.5,10.7,315.2,158.0,24.1,41.2,27.3,201.2,74.0,443.5,2.5,5.1,1.4,216.6,2.1,84.5,8.5,171.0,244.1,1.3,311.9,168.1,3.9,417.5,36.1,102.9,3651.1,2020,5,23,5,2,7306.5,2.4122561112357,6903.357142857143,6295.37,287498,6.792108722975636,944400.6231958587,5749.96,57499.600000000006,229998.4,408.1118230369684,0.24353875972987482
Delhi,2020-05-24,7.579,38.32,15.52,3.19,331.3531300728466,3390.319078053461,0.2597622941068829,4.231194467057071,2321,2020-05-24,194.0,1.6,22.9,109.2,4.5,83.8,4.1,98.0,8.7,55.0,17.3,10.0,312.2,154.3,22.4,46.2,27.7,192.6,69.7,447.4,2.4,4.6,1.6,216.2,2.1,85.0,7.6,168.3,245.8,0.9,302.2,172.3,4.3,426.9,34.6,118.4,3674.8,2020,5,24,6,2,7349.6,0.589885718196137,6996.871428571429,6345.823333333334,375203,10.082669102436805,1219437.2478021432,7504.06,75040.6,300162.4,403.75916097490665,0.24614809363327605
